CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
constituent,"constituent construction product is:  A manufacturer specific construction product (i.e. with a manufacturer reference number) that is not specified by the designer or selected by the constructor, but is used in the manufacture of a specified construction product. ",IfcWall,AssemblyPlace,"Enumeration defining where the assembly is intended to take place, either in a factory, other offsite location or on the building site.",Pset_ManufacturerOccurrence,ENUM,0.515778661,2.578893305,2.5,Project Information,,Position and Topology ,Project Information,Different,Partial Equivalent,2
trim width,cutting down to the desired size or shapeThe size of something in terms of how wide it is; distance from side to side.,IfcDoor,GlazingAreaFraction,"Fraction of the glazing area relative to the total area of the filling element. 
It shall be used, if the glazing area is not given separately for all panels within the filling element.",Pset_DoorCommon,IfcPositiveRatioMeasure,0.269441187,1.347205935,2.5,Geometry,,Geometry,,Different,Fully Equivalent,3
frame exterior material," a rigid structure that supports a building or other built asset such as a bridge or tunnel, or parts of them.the region that is outside of somethingthe tangible substance that goes into the makeup of a physical object",IfcWindow,AssemblyPlace,"Enumeration defining where the assembly is intended to take place, either in a factory, other offsite location or on the building site.",Pset_ManufacturerOccurrence,ENUM,0.335810483,1.679052415,0.5,Material and Finish,,Project Information,,Different,Not Equivalent,1
top be attach,"Indicates whether the wall top is attached to another model component, such as a roof or ceiling (read-only).",IfcWall,Length,Total nominal length of the wall along the wall center line (even if different to the wall path).,Qto_WallBaseQuantities,ENUM,0.504008591,2.520042955,2.3,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
sash,"A sash is a glazed part of a window or door assembly that opens for purposes of ventilation, viewing out, etc.",IfcWindow,HasSillInternal,Indication whether the window opening has an internal sill (TRUE) or not (FALSE).,Pset_WindowCommon,IfcBoolean,0.31662184,1.5831092,1.5,Material and Finish,Structural Properties,Identity,Structural Properties,Different,Partial Equivalent,2
stringer material,the structural member in a stairway that supports the treads and risers. the tangible substance that goes into the makeup of a physical object,IfcStair,ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcMassDensityMeasure,0.426186115,2.130930575,2,Position and Topology ,Material and Finish,Geometry,Material and Finish,Different,Partial Equivalent,2
down label,being or moving lower in position or less in some valuean identifying or descriptive marker that is attached to an object,IfcStair,FunctionalUnitReference,Reference to a database or a classification,Pset_EnvironmentalImpactIndicators,IfcLabel,0.403676033,2.018380165,2.7,Identity,Position and Topology ,Identity,,"Same,Different Constrain",Partial Equivalent,3
wrap at end,The Wrapping at Ends parameter in a wall type is the primary control used to determine the way material layers wrap at the ends of walls. There are other settings in the wall structure that can affect the wrapping behavior,IfcWall,GrossSideArea,Area of the wall as viewed by an elevation view of the middle plane of the wall.  It does not take into account any wall modifications (such as openings). ,Qto_WallBaseQuantities,ENUM,0.496921718,2.48460859,1,Material and Finish,Structural Properties,Geometry,Software-dependent Analytics,Different,Not Equivalent,1
symbol at end 1 default,"Places a bubble by default at the left end of the level line. When you select a level line, a check box appears next to the level bubble. Clear the check box to hide the bubble. Select it again to display the bubble.",IfcBuildingStorey,AgreementType,Identifies the predefined types of property agreement from which the type required may be set.,Pset_PropertyAgreement,ENUM,0.34356463,1.717823148,1,Software-dependent Analytics,Position and Topology ,Facility Information,,Different,Not Equivalent,1
riser thickness,"the height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the dimension through an object as opposed to its length or width",IfcStair,NosingLength,Horizontal distance from the front of the tread to the riser underneath. It is the overhang of the tread.,Pset_StairCommon,IfcLengthMeasure,0.313721418,1.56860709,3,Geometry,,Geometry,,Different,Fully Equivalent,3
end level offset,the surface at either extremity of a three-dimensional objecta flat surface at right angles to a plumb linestructure where a wall or building narrows abruptly,IfcBeam,CamberAtMidspan,"The camber deflection, measured from the midpoint of a cambered face of a piece to the midpoint of the chord joining the ends of the same face, as shown in the figure below, divided by the original (nominal) straight length of the face of the piece.",Pset_PrecastConcreteElementGeneral,IfcRatioMeasure,0.365487844,1.82743922,1.5,Position and Topology ,,Geometry,Position and Topology ,Different,Partial Equivalent,2
maximum ridge height,The maximum height of the top of the roof above the base level of the building.,IfcRoof,GrossArea,"Total gross area of the outer surface of the roof. It is the sum of all roof slab gross areas. Roof openings, like sky windows and other openings and cut-outs are not taken into account.",Qto_RoofBaseQuantities,ENUM,0.400448233,2.002241165,2.5,Geometry,,Geometry,Software-dependent Analytics,Different,Partial Equivalent,2
base constraint,"The base level of the wall. For example, Level 1.",IfcWall,GrossFootprintArea,"Area of the wall as viewed by a ground floor view, not taking any wall modifications (like recesses) into account. It is also referred to as the foot print of the wall.",Qto_WallBaseQuantities,ENUM,0.506055236,2.53027618,1.2,Position and Topology ,,Geometry,,Different,Not Equivalent,1
stringer thickness,the structural member in a stairway that supports the treads and risers. the dimension through an object as opposed to its length or width,IfcStair,NumberOfTreads,Total number of treads included in the stair.,Pset_StairCommon,IfcCountMeasure,0.471281528,2.35640764,2,Geometry,Position and Topology ,Position and Topology ,,Different,Partial Equivalent,2
work plane,A work plane is a modeling feature that defines the location of a plane in 3-dimensional (3D) space. ,IfcBeam,AssemblyPlace,"Enumeration defining where the assembly is intended to take place, either in a factory, other offsite location or on the building site.",Pset_ManufacturerOccurrence,ENUM,0.295238495,1.476192475,2.5,Position and Topology ,,Position and Topology ,Project Information,"Same,Different Constrain",Partial Equivalent,3
break symbol in plan,"some abrupt occurrence that interrupts an ongoing activityan arbitrary sign (written or printed) that has acquired a conventional significanceused to indicate inclusion within space, a place, or limits)architectural plan (scale drawing of a structure)",IfcStair,ActualErectionDate,Date erected.,Pset_PrecastConcreteElementFabrication,IfcDateTime,0.389434546,1.94717273,1,Software-dependent Analytics,Structural Properties,Project Information,,Different,Not Equivalent,1
